SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,19307 Caladero St,Tarzana,CA,91356,1585000,5,4,Tarzana (TAR),4547,24786,1963,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/19307-Caladero-St-91356/home/4254117,TheMLS,63188711,N,Y,34.148232,-118.554462
MLS Listing,Single Family Residential,4145 Somers Ave,Los Angeles (City),CA,90065,599000,2,1,Glassell Park,1184,6500,1927,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4145-Somers-Ave-90065/home/7073768,TheMLS,63188710,N,Y,34.126155,-118.2332525
MLS Listing,Single Family Residential,2323 Whittier,Los Angeles (City),CA,90023,320000,2,2,Boyle Heights,1080,3784,1910,3,Active,,,http://www.redfin.com/CA/Los-Angeles/2323-Whittier-Blvd-90023/home/6941749,TheMLS,63188709,N,Y,34.034857,-118.216162
MLS Listing,Single Family Residential,2081 Stradella Rd,Los Angeles (City),CA,90077,2750000,3,2.5,Bel Air (Holmby Hills),2515,23138,1965,3,Active,,,http://www.redfin.com/CA/Los-Angeles/2081-Stradella-Rd-90077/home/6830795,TheMLS,63188666,N,Y,34.1085779,-118.4618765
MLS Listing,Multi-Family (2-4 Unit),340 W 52nd Pl,Los Angeles,CA,90037,530000,4,4,C42 - Downtown L.A.,1536,7262,1935,3,Active,,,http://www.redfin.com/CA/Los-Angeles/340-W-52nd-Pl-90037/home/6924434,CRMLS,63188664,N,Y,33.9948412,-118.2797844
MLS Listing,Condo/Co-op,10626 Valley Spring Ln #307,Toluca Lake,CA,91602,599888,2,3,TUL - Toluca Lake,1470,22545,1991,3,Active,,,http://www.redfin.com/CA/Los-Angeles/10626-Valley-Spring-Ln-91602/unit-307/home/5306415,CRMLS,63188660,N,Y,34.1465464,-118.362207
MLS Listing,Single Family Residential,13417 S Hoover St,Gardena,CA,90247,399950,2,1,116 - North Gateway,1122,7204,1952,3,Active,December-11-2016 12:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Gardena/13417-S-Hoover-St-90247/home/7332244,CRMLS,63188600,N,Y,33.9097946,-118.2874149
MLS Listing,Single Family Residential,6244 Blucher Ave,Van Nuys,CA,91411,549000,3,2,VN - Van Nuys,1229,6022,1950,3,Active,,,http://www.redfin.com/CA/Los-Angeles/6244-Blucher-Ave-91411/home/4655338,CRISNet,63188594,N,Y,34.184387,-118.471589
MLS Listing,Single Family Residential,8502 Noble Ave,North Hills,CA,91343,399900,3,2,NOH - North Hills,1578,8432,1954,3,Active,,,http://www.redfin.com/CA/Los-Angeles/8502-Noble-Ave-91343/home/5680398,CRISNet,63188593,N,Y,34.224744,-118.4608626
MLS Listing,Multi-Family (2-4 Unit),1102 W 90th St,Los Angeles,CA,90044,475000,,,C16 - Mid Los Angeles,2560,9394,2010,3,Active,,,http://www.redfin.com/CA/Los-Angeles/1102-W-90th-St-90044/home/7300757,CRMLS,63188547,N,Y,33.9553611,-118.2939109
MLS Listing,Single Family Residential,5418 10th Ave,Los Angeles,CA,90043,625000,5,2.75,C34 - Los Angeles Southwest,2581,7512,1923,3,Active,,,http://www.redfin.com/CA/Los-Angeles/5418-10th-Ave-90043/home/6864680,CRMLS,63188543,N,Y,33.992484,-118.327806
MLS Listing,Townhouse,21333 Lassen St Unit 2F,Chatsworth,CA,91311,322000,2,2,CHT - Chatsworth,1149,121877,1981,3,Active,,,http://www.redfin.com/CA/Los-Angeles/21333-Lassen-St-91311/unit-2F/home/5838848,CRISNet,63188527,N,Y,34.250943,-118.595883
MLS Listing,Single Family Residential,4700 Baltimore St,Los Angeles,CA,90042,525000,2,1,632 - Highland Park,806,4716,1921,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4700-Baltimore-St-90042/home/7081954,i-Tech MLS,63188270,N,Y,34.1182159,-118.212471
MLS Listing,Multi-Family (5+ Unit),6407 S Victoria Ave,Los Angeles,CA,90043,1399000,12,9,C34 - Los Angeles Southwest,,15163,1923,3,Active,,,http://www.redfin.com/CA/Los-Angeles/6407-S-Victoria-Ave-90043/home/6416540,CRMLS,63188225,N,Y,33.9813479,-118.332675
MLS Listing,Single Family Residential,8324 S Figueroa St,Los Angeles,CA,90003,389000,2,1,699 - Not Defined,820,6279,1922,3,Active,,,http://www.redfin.com/CA/Los-Angeles/8324-S-Figueroa-St-90003/home/7291302,CRMLS,63188215,N,Y,33.96351,-118.282328
MLS Listing,Single Family Residential,14232 Tiara St,Sherman Oaks,CA,91401,815000,3,2,SO - Sherman Oaks,1532,6752,1941,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/14232-Tiara-St-91401/home/4694560,CRISNet,63188205,N,Y,34.1782433,-118.4433464
MLS Listing,Condo/Co-op,1115 South Elm Dr #401,Los Angeles (City),CA,90035,699000,2,2,Beverlywood Vicinity,1033,39953,1972,3,Active,,,http://www.redfin.com/CA/Los-Angeles/1115-S-Elm-Dr-90035/unit-401/home/6810908,TheMLS,63188092,N,Y,34.0566868,-118.3953216
